,JID,Jurisdiction,Precinct,Precinct Description,Polling Place Name,Description,Address Line 1,Address Line 2,City,State,Zip,Accessible,lon,lat
3234,105,City of Chicago,1631,PRECINCT 16 WARD 31,INFANT WELFARE SOCIETY,BUSINESS,3600 WFULLERTON AVE,-1,Chicago,-1.0,60647,Y,-87.71730010000002,41.9248971
3235,105,City of Chicago,1726,PRECINCT 17 WARD 26,SMITH PARK,PARK DISTRICT FIELD HOUSE,2526 WGRAND AVE,-1,Chicago,-1.0,60612,Y,-87.6895164,41.8916288
3236,105,City of Chicago,1844,PRECINCT 18 WARD 44,SECOND UNITARIAN CHURCH,CHURCH,656 WBARRY AVE,-1,Chicago,-1.0,60657,Y,-87.646513,41.9381897
3237,105,City of Chicago,1902,PRECINCT 19 WARD 2,175 DELAWARE PL CONDO,APARTMENT BUILDING,175 EDELAWARE PL,-1,Chicago,-1.0,60611,Y,-87.6228548,41.8990143
3238,105,City of Chicago,2024,PRECINCT 20 WARD 24,WEBSTER SCHOOL,PUBLIC SCHOOL,4055 WARTHINGTON ST,-1,Chicago,-1.0,60624,Y,-87.7270353,41.8697045
3239,105,City of Chicago,2325,PRECINCT 23 WARD 25,DVORAK PARK,PARK DISTRICT FIELD HOUSE,1119 WCULLERTON ST,-1,Chicago,-1.0,60608,Y,-87.6539074,41.855021
3240,105,City of Chicago,2509,PRECINCT 25 WARD 9,TULEY PARK,PARK DISTRICT FIELD HOUSE,501 E90TH PL,-1,Chicago,-1.0,60619,N,-87.6112026,41.73012809999999
3241,105,City of Chicago,2626,PRECINCT 26 WARD 26,LAS MORADAS APTS,APARTMENT BUILDING,1307 NCALIFORNIA AVE,-1,Chicago,-1.0,60622,Y,-87.69660239999999,41.9054875
3242,105,City of Chicago,2633,PRECINCT 26 WARD 33,LOGAN AVONDALE POST 2978,VFW,3009 NKEDZIE AVE,-1,Chicago,-1.0,60618,Y,-87.7072357,41.9359882
3243,105,City of Chicago,2733,PRECINCT 27 WARD 33,ROOSEVELT HIGH SCHOOL,PUBLIC SCHOOL,3436 WWILSON AVE,-1,Chicago,-1.0,60618,Y,-87.71418290000001,41.9657658
